@relation tweet_classification


@attribute 1st_person_pronouns numeric
@attribute 2nd_person_pronouns numeric
@attribute 3rd_person_pronouns numeric
@attribute coor_conjunctions numeric
@attribute past_verbs numeric
@attribute future_verbs numeric
@attribute commas numeric
@attribute colon_and_semi numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_nouns numeric
@attribute proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute modern_slang numeric
@attribute words_all_upper numeric
@attribute avg_sentences numeric
@attribute avg_tokens numeric
@attribute num_sentences numeric
@attribute polarity {0,4}


@data
1,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,20.25,3.473684210526316,4,0
1,0,2,1,0,0,1,0,1,0,0,4,0,2,0,0,0,44.0,4.4,3,0
0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,21.333333333333332,5.090909090909091,3,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16.0,3.25,2,0
1,0,0,4,0,0,3,0,0,0,0,6,0,0,0,0,0,19.25,3.764705882352941,4,0
1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,15.0,3.8,3,0
4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11.0,3.5,3,0
2,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,35.0,5.0,2,0
2,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,19.4,4.368421052631579,5,0
1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,31.5,3.642857142857143,2,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.0,4.5,2,0
1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,26.0,4.4,4,0
2,0,1,2,0,0,0,0,0,0,0,4,0,2,0,0,0,23.333333333333332,3.8666666666666667,3,0
0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,38.0,5.0,2,0
0,0,0,0,0,0,1,0,1,0,0,14,0,0,0,0,0,51.0,5.5,2,0
0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,15.5,3.7142857142857144,4,0
0,0,0,2,0,0,0,0,0,0,0,5,0,2,0,0,0,14.2,4.846153846153846,5,0
0,0,1,1,0,0,0,0,0,0,0,7,0,2,3,0,0,33.75,4.56,4,0
4,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,46.5,3.5238095238095237,2,0
